q,score,turn_rmse_p95_m,turn_nees_coverage_pct,turn_nees_mean,maneuver_rmse_p95_m,maneuver_nees_coverage_pct,maneuver_nees_mean
0.5,731.6495923739296,8.647260653715309,15.49519865154154,45.57907839407879,5.1967189735589985,74.89960330670212,16.75052517929563
1.0,457.00691179168945,7.2680641179856735,14.536161192135216,24.393437059452665,4.633381660027737,75.5061513057647,10.982446800299162
2.0,366.5555686648974,5.833490795271751,67.91513816128811,12.624538415155538,4.372589486311285,76.2131360843794,7.403515595104277
3.0,286.9106856237792,5.271891543062644,92.95735120781742,8.965892593004712,4.58172133439814,77.20760502853449,6.309729404751819
4.0,232.41129852588284,5.023993267271877,97.17552533725302,7.18930673357012,4.602314156786531,76.03903684587236,6.4005826445592096
5.0,132.1009005797153,4.891019703244727,98.0924651095279,6.197486170706968,4.686380557184146,76.17364649375236,5.8333222428274265
6.0,22.78437956900537,4.815677063662769,98.34039239913467,5.562864989459148,4.600626736412173,76.07635323179193,5.396454207215595
8.0,21.76848530740449,4.742636356060819,97.27114926069251,4.817874737326589,4.577379248027106,76.74574523770038,4.695962693848702
10.0,19.522721353632097,4.710121873351683,96.06809843587163,4.399988492203336,4.587507509064925,78.19504468529584,4.300676301684057
12.0,17.101926683108466,4.7150337476008595,94.75479564280104,4.132373005699481,4.611333776758514,80.04814171500837,4.057898912464763
16.0,17.34373083988091,4.754271642556505,92.25527257246122,3.8197835042170474,4.673037258025571,82.60995841539345,3.762292840311784
