range_sigma_m,rmse_m,raw_rmse_m,nees_in_95_pct
5.0,1.15868226208638,14.759414995706097,74.9546279491833
10.0,1.3736712581746306,17.10382403185125,76.22504537205081
20.0,1.6964682599734877,24.317505760728846,78.0399274047187
30.0,1.8791857736127517,33.00515901424416,77.49546279491834
50.0,2.0164918439283546,51.797073541718554,76.76950998185119
