outage_sec,max_position_cov_trace_m2,covariance_growth_ratio,reacquisition_sec
5.0,4.528090956837339,2.084176855028227,0.0
10.0,5.208028279181784,2.39713647611542,0.0
30.0,7.470254078363593,3.438387346834586,0.0
