time_sec,actual_r_ratio,estimated_r_ratio,nis_configured,nis_adapted
0.0,1.0,1.0,0.45839553587131343,0.45839553587131343
0.1,1.0,1.0,0.1715709517575731,0.1715709517575731
0.2,1.0,1.0,0.06025343102665909,0.06025343102665909
0.30000000000000004,1.0,1.0,1.3794222216402032,1.3794222216402032
0.4,1.0,1.0,0.14227094092458417,0.14227094092458417
0.5,1.0,1.0,0.08025693837937825,0.08025693837937825
0.6000000000000001,1.0,1.0,0.00539128353390949,0.00539128353390949
0.7000000000000001,1.0,1.0,0.5123183031623502,0.5123183031623502
0.8,1.0,1.0,0.4509873757518324,0.4509873757518324
0.9,1.0,1.0,4.637926745697101,4.637926745697101
1.0,1.0,1.0,0.809129777380039,0.809129777380039
1.1,1.0,1.0,0.8506331002464104,0.8506331002464104
1.2000000000000002,1.0,1.0,0.011107731464381989,0.011107731464381989
1.3,1.0,1.0,0.0006881431470301197,0.0006881431470301197
1.4000000000000001,1.0,0.9745579505103685,0.34123762209095615,0.34712534218087016
1.5,1.0,0.9479967052211524,0.15062904167078509,0.15603872694701282
1.6,1.0,0.9202217942908298,0.0527637045554317,0.055727603358366934
1.7000000000000002,1.0,0.892636298854401,0.3071597784470975,0.33083990992454826
1.8,1.0,0.872206184973777,2.0422883089839554,2.232486995774965
1.9000000000000001,1.0,0.8503704222511204,0.008781471210946743,0.009754513724065083
2.0,1.0,0.8334970908792216,1.7074407204420996,1.9206349216513743
2.1,1.0,0.8275978318841037,3.6468549002766295,4.120436339257661
2.2,1.0,0.8198691678550687,0.15886842565818413,0.18055019716427192
2.3000000000000003,1.0,0.8102272114760207,0.046104191066892425,0.05278190377562946
2.4000000000000004,1.0,0.8025181778270306,1.2349616638845842,1.422200877777595
2.5,1.0,0.7950683095172575,0.7269184266768803,0.8419460440830057
2.6,1.0,0.785973838756629,0.04285936253714751,0.049992497411829546
2.7,1.0,0.781096781369037,2.146856801271751,2.5136939290927622
2.8000000000000003,1.0,0.7767519886365445,0.9038076844814841,1.0618440690035684
2.9000000000000004,1.0,0.7728102290970642,0.8704513737012305,1.0258222559054206
3.0,1.0,0.7673339054631378,0.08286167571095386,0.09807400640876013
3.1,1.0,0.7603508906493898,0.015839363364672725,0.018851135206297474
3.2,1.0,0.7554317870235003,1.5062770028807908,1.7997118821389955
3.3000000000000003,1.0,0.7513856325392139,1.058883140760911,1.2692527945350165
3.4000000000000004,1.0,0.746031819083842,0.07835467375199483,0.09432504758538902
3.5,1.0,0.7401331730897807,0.3728617674546721,0.450994024930835
3.6,1.0,0.734135747093547,0.5578078638765109,0.6779738758765116
3.7,1.0,0.7271088126940991,0.07323738591025285,0.08952431742723117
3.8000000000000003,1.0,0.7215026445123991,1.2851628449129693,1.5781744526136277
3.9000000000000004,1.0,0.7150758986444137,0.1561843818425208,0.1928081801516673
4.0,1.0,0.7084386450648278,0.437903215368676,0.5435566180670897
4.1000000000000005,1.0,0.7009952195815098,0.08425451838335056,0.10523087478987962
4.2,1.0,0.695167731523566,1.4194726836251312,1.7815148194500208
4.3,1.0,0.6910376046406091,1.5478092119077085,1.9493203311260106
4.4,1.0,0.6878301531752908,1.1714115733373989,1.4792665056607603
4.5,1.0,0.6860759293670691,1.5442101683055354,1.9529232447153435
4.6000000000000005,1.0,0.6831994224388498,0.010234016817877702,0.012974165585015678
4.7,1.0,0.680855794476499,1.001358176987918,1.2719904263566453
